"","date","confirm","region"
"650",2022-01-29,29,"103504000"
"651",2022-01-30,57,"103504000"
"652",2022-01-31,10,"103504000"
"653",2022-02-01,30,"103504000"
"654",2022-02-02,2,"103504000"
"655",2022-02-03,45,"103504000"
"656",2022-02-04,23,"103504000"
"657",2022-02-05,21,"103504000"
"658",2022-02-06,18,"103504000"
"659",2022-02-07,17,"103504000"
"660",2022-02-08,9,"103504000"
"661",2022-02-09,7,"103504000"
"662",2022-02-10,13,"103504000"
"663",2022-02-11,15,"103504000"
"664",2022-02-12,19,"103504000"
"665",2022-02-13,5,"103504000"
"666",2022-02-14,15,"103504000"
"667",2022-02-15,8,"103504000"
"668",2022-02-16,5,"103504000"
"669",2022-02-17,8,"103504000"
"670",2022-02-18,2,"103504000"
"671",2022-02-19,1,"103504000"
"672",2022-02-20,13,"103504000"
"673",2021-11-01,5,"104200000"
"674",2021-11-02,6,"104200000"
"675",2021-11-03,4,"104200000"
"676",2021-11-04,14,"104200000"
"677",2021-11-05,1,"104200000"
"678",2021-11-06,10,"104200000"
"679",2021-11-07,16,"104200000"
"680",2021-11-08,2,"104200000"
"681",2021-11-09,5,"104200000"
"682",2021-11-10,9,"104200000"
"683",2021-11-11,8,"104200000"
"684",2021-11-12,2,"104200000"
"685",2021-11-13,5,"104200000"
"686",2021-11-14,13,"104200000"
"687",2021-11-15,5,"104200000"
"688",2021-11-16,2,"104200000"
"689",2021-11-17,2,"104200000"
"690",2021-11-18,2,"104200000"
"691",2021-11-19,5,"104200000"
"692",2021-11-20,1,"104200000"
"693",2021-11-21,4,"104200000"
"694",2021-11-22,1,"104200000"
"695",2021-11-23,3,"104200000"
"696",2021-11-24,5,"104200000"
"697",2021-11-25,1,"104200000"
"698",2021-11-26,6,"104200000"
"699",2021-11-27,1,"104200000"
"700",2021-11-28,5,"104200000"
"701",2021-11-29,4,"104200000"
"702",2021-11-30,0,"104200000"
"703",2021-12-01,8,"104200000"
"704",2021-12-02,2,"104200000"
"705",2021-12-03,2,"104200000"
"706",2021-12-04,2,"104200000"
"707",2021-12-05,2,"104200000"
"708",2021-12-06,0,"104200000"
"709",2021-12-07,0,"104200000"
"710",2021-12-08,3,"104200000"
"711",2021-12-09,3,"104200000"
"712",2021-12-10,0,"104200000"
"713",2021-12-11,0,"104200000"
"714",2021-12-12,1,"104200000"
"715",2021-12-13,0,"104200000"
"716",2021-12-14,0,"104200000"
"717",2021-12-15,1,"104200000"
"718",2021-12-16,0,"104200000"
"719",2021-12-17,0,"104200000"
"720",2021-12-18,1,"104200000"
"721",2021-12-19,0,"104200000"
"722",2021-12-20,1,"104200000"
"723",2021-12-21,1,"104200000"
"724",2021-12-22,0,"104200000"
"725",2021-12-23,0,"104200000"
"726",2021-12-24,0,"104200000"
"727",2021-12-25,0,"104200000"
"728",2021-12-26,0,"104200000"
"729",2021-12-27,0,"104200000"
"730",2021-12-28,0,"104200000"
"731",2021-12-29,1,"104200000"
"732",2021-12-30,1,"104200000"
"733",2021-12-31,1,"104200000"
"734",2022-01-01,0,"104200000"
"735",2022-01-02,0,"104200000"
"736",2022-01-03,1,"104200000"
"737",2022-01-04,2,"104200000"
"738",2022-01-05,5,"104200000"
"739",2022-01-06,9,"104200000"
"740",2022-01-07,2,"104200000"
"741",2022-01-08,11,"104200000"
"742",2022-01-09,12,"104200000"
"743",2022-01-10,14,"104200000"
"744",2022-01-11,13,"104200000"
"745",2022-01-12,33,"104200000"
"746",2022-01-13,26,"104200000"
"747",2022-01-14,33,"104200000"
"748",2022-01-15,33,"104200000"
"749",2022-01-16,49,"104200000"
"750",2022-01-17,17,"104200000"
"751",2022-01-18,31,"104200000"
"752",2022-01-19,31,"104200000"
"753",2022-01-20,117,"104200000"
"754",2022-01-21,145,"104200000"
"755",2022-01-22,116,"104200000"
"756",2022-01-23,174,"104200000"
"757",2022-01-24,57,"104200000"
"758",2022-01-25,81,"104200000"
"759",2022-01-26,121,"104200000"
"760",2022-01-27,68,"104200000"
"761",2022-01-28,81,"104200000"
"762",2022-01-29,77,"104200000"
"763",2022-01-30,133,"104200000"
"764",2022-01-31,70,"104200000"
"765",2022-02-01,54,"104200000"
"766",2022-02-02,13,"104200000"
"767",2022-02-03,77,"104200000"
"768",2022-02-04,43,"104200000"
"769",2022-02-05,58,"104200000"
"770",2022-02-06,45,"104200000"
"771",2022-02-07,15,"104200000"
"772",2022-02-08,17,"104200000"
"773",2022-02-09,22,"104200000"
