"","X","Bgy_Code","cases_7","cases_14","infection_rate","classification","population","AR_7","AR_14","AR_cumulative","AR_active","linelist_date"
"6830",38,143213008,0,0,0,NA,0,0,0,0,0,2022-04-17
"6831",39,143213013,0,0,0,NA,0,0,0,0,0,2022-04-17
"6832",40,143213022,0,0,0,NA,0,0,0,0,0,2022-04-17
"6833",41,143213034,0,0,0,NA,0,0,0,0,0,2022-04-17
"6834",42,143213042,0,0,0,NA,0,0,0,0,0,2022-04-17
"6835",1,144402002,0,0,0,NA,0,0,0,0,0,2022-04-17
"6836",2,144402014,0,0,0,NA,0,0,0,0,0,2022-04-17
"6837",3,144402015,0,0,0,NA,0,0,0,0,0,2022-04-17
"6838",4,144402004,0,0,0,NA,0,0,0,0,0,2022-04-17
"6839",5,144402001,0,0,0,1,0,0,0,0,0,2022-04-17
"6840",6,144402018,0,0,0,NA,0,0,0,0,0,2022-04-17
"6841",7,144402011,0,0,0,NA,0,0,0,0,0,2022-04-17
"6842",8,144402023,0,0,0,NA,0,0,0,0,0,2022-04-17
"6843",9,144402016,0,0,0,NA,0,0,0,0,0,2022-04-17
"6844",10,144402019,0,0,0,NA,0,0,0,0,0,2022-04-17
"6845",11,144402021,0,0,0,NA,0,0,0,0,0,2022-04-17
"6846",12,144402009,0,0,0,NA,0,0,0,0,0,2022-04-17
"6847",13,144402003,0,0,0,NA,0,0,0,0,0,2022-04-17
"6848",14,144402005,0,0,0,NA,0,0,0,0,0,2022-04-17
"6849",15,144402006,0,0,0,NA,0,0,0,0,0,2022-04-17
"6850",16,144402007,0,0,0,NA,0,0,0,0,0,2022-04-17
"6851",17,144402008,0,0,0,NA,0,0,0,0,0,2022-04-17
"6852",18,144402010,0,0,0,NA,0,0,0,0,0,2022-04-17
"6853",19,144402012,0,0,0,NA,0,0,0,0,0,2022-04-17
"6854",20,144402013,0,0,0,1,0,0,0,0,0,2022-04-17
"6855",21,144402020,0,0,0,1,0,0,0,0,0,2022-04-17
"6856",22,144402022,0,0,0,NA,0,0,0,0,0,2022-04-17
"6857",1,144403003,0,0,0,NA,0,0,0,0,0,2022-04-17
"6858",2,144403006,0,0,0,NA,0,0,0,0,0,2022-04-17
"6859",3,144403010,0,0,0,NA,0,0,0,0,0,2022-04-17
"6860",4,144403005,0,0,0,NA,0,0,0,0,0,2022-04-17
"6861",5,144403004,0,0,0,NA,0,0,0,0,0,2022-04-17
"6862",6,144403009,0,0,0,1,0,0,0,0,0,2022-04-17
"6863",7,144403015,0,0,0,NA,0,0,0,0,0,2022-04-17
"6864",8,144403011,0,0,0,NA,0,0,0,0,0,2022-04-17
"6865",9,144403013,0,0,0,NA,0,0,0,0,0,2022-04-17
"6866",10,144403001,1,1,25,1,400,25,25,1175,50,2022-04-17
"6867",11,144403002,0,0,0,NA,0,0,0,0,0,2022-04-17
"6868",12,144403007,0,0,0,NA,0,0,0,0,0,2022-04-17
"6869",13,144403012,0,0,0,NA,0,0,0,0,0,2022-04-17
"6870",14,144403014,0,0,0,NA,0,0,0,0,0,2022-04-17
"6871",1,144404009,0,0,0,NA,0,0,0,0,0,2022-04-17
"6872",2,144404013,0,0,0,NA,0,0,0,0,0,2022-04-17
"6873",3,144404001,0,0,0,NA,0,0,0,0,0,2022-04-17
"6874",4,144404002,0,0,0,NA,0,0,0,0,0,2022-04-17
"6875",5,144404003,0,0,0,NA,0,0,0,0,0,2022-04-17
"6876",6,144404004,0,0,0,NA,0,0,0,0,0,2022-04-17
"6877",7,144404005,0,0,0,NA,0,0,0,0,0,2022-04-17
"6878",8,144404006,0,0,0,NA,0,0,0,0,0,2022-04-17
"6879",9,144404007,0,0,0,NA,0,0,0,0,0,2022-04-17
"6880",10,144404010,0,0,0,NA,0,0,0,0,0,2022-04-17
"6881",11,144404011,0,0,0,NA,0,0,0,0,0,2022-04-17
"6882",12,144404012,0,0,0,NA,0,0,0,0,0,2022-04-17
"6883",13,144404014,0,0,0,NA,0,0,0,0,0,2022-04-17
"6884",14,144404015,0,0,0,NA,0,0,0,0,0,2022-04-17
"6885",15,144404017,0,0,0,NA,0,0,0,0,0,2022-04-17
"6886",16,144404016,0,0,0,4,0,0,0,0,0,2022-04-17
"6887",1,144405005,0,0,0,4,0,0,0,0,0,2022-04-17
"6888",2,144405004,0,0,0,3,0,0,0,0,0,2022-04-17
